Wed May 26 09:33:40 2021    output.dat

         28906884 function calls (28887370 primitive calls) in 15.024 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      274    0.000    0.000    0.011    0.000 <__array_function__ internals>:2(polyval)
      613    0.000    0.000    0.001    0.000 C:\Users\User\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.8_qbz5n2kfra8p0\LocalCache\local-packages\Python38\site-packages\numpy\core\_asarray.py:110(asanyarray)
      122    0.000    0.000    0.001    0.000 C:\Users\User\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.8_qbz5n2kfra8p0\LocalCache\local-packages\Python38\site-packages\thinc\config.py:335(_sort)
      274    0.000    0.000    0.000    0.000 C:\Users\User\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.8_qbz5n2kfra8p0\LocalCache\local-packages\Python38\site-packages\numpy\linalg\linalg.py:102(get_linalg_error_extobj)
       48    0.000    0.000    0.000    0.000 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.8_3.8.2800.0_x64__qbz5n2kfra8p0\lib\configparser.py:922(_write_section)
      343    0.000    0.000    0.011    0.000 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.8_3.8.2800.0_x64__qbz5n2kfra8p0\lib\inspect.py:3103(signature)
      118    0.000    0.000    0.001    0.000 C:\Users\User\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.8_qbz5n2kfra8p0\LocalCache\local-packages\Python38\site-packages\thinc\config.py:159(__init__)
       28    0.000    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:1498(find_spec)
      274    0.000    0.000    0.004    0.000 <__array_function__ internals>:2(zeros_like)
     1527    0.000    0.000    0.000    0.000 {method 'istitle' of 'str' objects}
     1527    0.000    0.000    0.000    0.000 {method 'islower' of 'str' objects}
       45    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
      168    0.000    0.000    0.001    0.000 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.8_3.8.2800.0_x64__qbz5n2kfra8p0\lib\configparser.py:1197(set)
        9    0.000    0.000    0.014    0.002 C:\Users\User\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.8_qbz5n2kfra8p0\LocalCache\local-packages\Python38\site-packages\srsly\_json_api.py:39(read_json)
      204    0.000    0.000    0.000    0.000 {method 'nonzero' of 'numpy.ndarray' objects}
  978/286    0.000    0.000    0.002    0.000 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.8_3.8.2800.0_x64__qbz5n2kfra8p0\lib\abc.py:100(__subclasscheck__)
      958    0.000    0.000    0.000    0.000 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.8_3.8.2800.0_x64__qbz5n2kfra8p0\lib\sre_parse.py:160(__len__)
      773    0.000    0.000    0.001    0.000 C:\Users\User\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.8_qbz5n2kfra8p0\LocalCache\local-packages\Python38\site-packages\srsly\_json_api.py:30(json_loads)
       10    0.000    0.000    0.002    0.000 C:\Users\User\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.8_qbz5n2kfra8p0\LocalCache\local-packages\Python38\site-packages\thinc\layers\maxout.py:42(forward)
       40    0.000    0.000    0.005    0.000 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.8_3.8.2800.0_x64__qbz5n2kfra8p0\lib\copy.py:258(_reconstruct)
      102    0.000    0.000    0.000    0.000 C:\Users\User\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.8_qbz5n2kfra8p0\LocalCache\local-packages\Python38\site-packages\scipy\interpolate\interpolate.py:306(_check_broadcast_up_to)
        7    0.000    0.000    0.000    0.000 {built-in method builtins.compile}
        1    0.000    0.000    0.000    0.000 spacy\pipeline\_parser_internals\arc_eager.pyx:570(__init__)
       87    0.000    0.000    0.013    0.000 C:\Users\User\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.8_qbz5n2kfra8p0\LocalCache\local-packages\Python38\site-packages\catalogue\__init__.py:81(get)
      432    0.000    0.000    0.001    0.000 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.8_3.8.2800.0_x64__qbz5n2kfra8p0\lib\configparser.py:1275(_options)
       15    0.000    0.000    0.000    0.000 C:\Users\User\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.8_qbz5n2kfra8p0\LocalCache\local-packages\Python38\site-packages\thinc\config.py:638(copy_model_field)
      106    0.000    0.000    0.000    0.000 C:\Users\User\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.8_qbz5n2kfra8p0\LocalCache\local-packages\Python38\site-packages\numpy\ma\core.py:639(get_masked_subclass)
      371    0.000    0.000    0.001    0.000 C:\Users\User\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.8_qbz5n2kfra8p0\LocalCache\local-packages\Python38\site-packages\spacy\util.py:1070(<listcomp>)
       45    0.000    0.000    0.000    0.000 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.8_3.8.2800.0_x64__qbz5n2kfra8p0\lib\pathlib.py:64(parse_parts)
      336    0.000    0.000    0.002    0.000 C:\Users\User\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.8_qbz5n2kfra8p0\LocalCache\local-packages\Python38\site-packages\thinc\config.py:53(before_get)
      300    0.000    0.000    0.004    0.000 C:\Users\User\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.8_qbz5n2kfra8p0\LocalCache\local-packages\Python38\site-packages\numpy\core\_methods.py:59(_all)
     1527    0.000    0.000    0.000    0.000 {method 'isspace' of 'str' objects}
       75    0.000    0.000    0.000    0.000 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.8_3.8.2800.0_x64__qbz5n2kfra8p0\lib\sre_compile.py:249(_compile_charset)
       10    0.000    0.000    0.000    0.000 thinc\backends\numpy_ops.pyx:142(maxout)
      407    0.000    0.000    0.000    0.000 {built-in method numpy.core._multiarray_umath.normalize_axis_index}
      376    0.000    0.000    0.000    0.000 C:\Users\User\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.8_qbz5n2kfra8p0\LocalCache\local-packages\Python38\site-packages\scipy\sparse\base.py:1205(isspmatrix)
      102    0.000    0.000    0.001    0.000 C:\Users\User\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.8_qbz5n2kfra8p0\LocalCache\local-packages\Python38\site-packages\scipy\interpolate\polyint.py:104(_reshape_yi)
        1    0.000    0.000   15.024   15.024 C:/Users/User/PycharmProjects/FINAL/main.py:109(main)
      204    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:103(release)
        1    0.000    0.000    0.005    0.005 C:\Users\User\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.8_qbz5n2kfra8p0\LocalCache\local-packages\Python38\site-packages\spacy\pipeline\attributeruler.py:207(add_patterns)
     1642    0.000    0.000    0.000    0.000 spacy\tokens\doc.pyx:878(__pyx_fuse_0push_back)
       10    0.000    0.000    0.000    0.000 {built-in method builtins.print}
     1151    0.000    0.000    0.001    0.000 {method 'add' of 'set' objects}
      219    0.000    0.000    0.000    0.000 C:\Users\User\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.8_qbz5n2kfra8p0\LocalCache\local-packages\Python38\site-packages\numpy\ma\core.py:666(getdata)
       24    0.000    0.000    0.004    0.000 C:\Users\User\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.8_qbz5n2kfra8p0\LocalCache\local-packages\Python38\site-packages\pose_format\pose_header.py:37(<listcomp>)
      387    0.000    0.000    0.001    0.000 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.8_3.8.2800.0_x64__qbz5n2kfra8p0\lib\typing.py:768(__instancecheck__)
      772    0.000    0.000    0.000    0.000 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.8_3.8.2800.0_x64__qbz5n2kfra8p0\lib\enum.py:631(__new__)
    69/16    0.000    0.000    0.000    0.000 C:\Users\User\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.8_qbz5n2kfra8p0\LocalCache\local-packages\Python38\site-packages\thinc\config.py:481(deep_merge_configs)
      115    0.000    0.000    0.051    0.000 C:\Users\User\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.8_qbz5n2kfra8p0\LocalCache\local-packages\Python38\site-packages\srsly\_msgpack_api.py:17(msgpack_loads)
        8    0.000    0.000    0.002    0.000 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.8_3.8.2800.0_x64__qbz5n2kfra8p0\lib\importlib\metadata.py:423(search)
     1529    0.000    0.000    0.000    0.000 C:\Users\User\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.8_qbz5n2kfra8p0\LocalCache\local-packages\Python38\site-packages\spacy\lang\lex_attrs.py:182(get_lang)
      293    0.000    0.000    0.001    0.000 C:\Users\User\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.8_qbz5n2kfra8p0\LocalCache\local-packages\Python38\site-packages\thinc\config.py:968(is_promise)
      343    0.000    0.000    0.003    0.000 C:\Users\User\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.8_qbz5n2kfra8p0\LocalCache\local-packages\Python38\site-packages\numpy\core\_methods.py:45(_sum)
      376    0.000    0.000    0.000    0.000 C:\Users\User\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.8_qbz5n2kfra8p0\LocalCache\local-packages\Python38\site-packages\numpy\ma\core.py:6371(isMaskedArray)
     1416    0.000    0.000    0.000    0.000 spacy\tokenizer.pyx:355(_try_specials_and_cache)
     2150    0.000    0.000    0.000    0.000 spacy\tokenizer.pyx:75(__get__)
      183    0.000    0.000    0.000    0.000 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.8_3.8.2800.0_x64__qbz5n2kfra8p0\lib\typing.py:868(__new__)
     2133    0.000    0.000    0.000    0.000 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.8_3.8.2800.0_x64__qbz5n2kfra8p0\lib\copy.py:182(_deepcopy_atomic)
      183    0.000    0.000    0.000    0.000 thinc\backends\numpy_ops.pyx:61(asarray)
      274    0.000    0.000    0.000    0.000 {built-in method numpy.promote_types}
      343    0.000    0.000    0.011    0.000 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.8_3.8.2800.0_x64__qbz5n2kfra8p0\lib\inspect.py:2851(from_callable)
      495    0.000    0.000    0.000    0.000 {method 'transpose' of 'numpy.ndarray' objects}
       12    0.000    0.000    0.001    0.000 C:\Users\User\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.8_qbz5n2kfra8p0\LocalCache\local-packages\Python38\site-packages\numpy\ma\core.py:6813(power)
      204    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:58(__init__)
      688    0.000    0.000    0.000    0.000 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.8_3.8.2800.0_x64__qbz5n2kfra8p0\lib\inspect.py:158(isfunction)
      168    0.000    0.000    0.000    0.000 C:\Users\User\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.8_qbz5n2kfra8p0\LocalCache\local-packages\Python38\site-packages\thinc\config.py:42(before_read)
      102    0.000    0.000    0.016    0.000 C:\Users\User\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.8_qbz5n2kfra8p0\LocalCache\local-packages\Python38\site-packages\scipy\interpolate\polyint.py:56(__call__)
      558    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
       15    0.000    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:914(get_code)
      274    0.000    0.000    0.000    0.000 C:\Users\User\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.8_qbz5n2kfra8p0\LocalCache\local-packages\Python38\site-packages\numpy\linalg\linalg.py:187(_assert_2d)
      168    0.000    0.000    0.001    0.000 C:\Users\User\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.8_qbz5n2kfra8p0\LocalCache\local-packages\Python38\site-packages\thinc\config.py:460(try_dump_json)
        1    0.000    0.000    0.171    0.171 spacy\tokenizer.pyx:762(from_bytes)
       24    0.000    0.000    0.003    0.000 C:\Users\User\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.8_qbz5n2kfra8p0\LocalCache\local-packages\Python38\site-packages\numpy\ma\core.py:5211(mean)
        1    0.000    0.000   10.216   10.216 C:\Users\User\PycharmProjects\FINAL\SmoothingAlgorithm.py:123(runSmoothingAlgorithm)
        8    0.000    0.000    0.000    0.000 C:\Users\User\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.8_qbz5n2kfra8p0\LocalCache\local-packages\Python38\site-packages\thinc\layers\hashembed.py:58(forward)
       24    0.000    0.000    0.001    0.000 C:\Users\User\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.8_qbz5n2kfra8p0\LocalCache\local-packages\Python38\site-packages\pose_format\pose_header.py:38(<listcomp>)
       32    0.000    0.000    0.004    0.000 C:\Users\User\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.8_qbz5n2kfra8p0\LocalCache\local-packages\Python38\site-packages\numpy\ma\core.py:6924(concatenate)
       28    0.000    0.000    0.000    0.000 {built-in method builtins.round}
      147    0.000    0.000    0.004    0.000 <__array_function__ internals>:2(stack)
        4    0.000    0.000    0.000    0.000 {built-in method builtins.dir}
      102    0.000    0.000    0.001    0.000 C:\Users\User\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.8_qbz5n2kfra8p0\LocalCache\local-packages\Python38\site-packages\scipy\interpolate\polyint.py:132(_set_dtype)
      204    0.000    0.000    0.004    0.000 <__array_function__ internals>:2(argwhere)
      288    0.000    0.000    0.001    0.000 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.8_3.8.2800.0_x64__qbz5n2kfra8p0\lib\configparser.py:1269(__len__)
     1471    0.000    0.000    0.000    0.000 {method 'rstrip' of 'str' objects}
      204    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:176(cb)
      168    0.000    0.000    0.000    0.000 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.8_3.8.2800.0_x64__qbz5n2kfra8p0\lib\configparser.py:891(set)
      145    0.000    0.000    0.000    0.000 C:\Users\User\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.8_qbz5n2kfra8p0\LocalCache\local-packages\Python38\site-packages\pose_format\pose_header.py:43(_write_str)
       68    0.000    0.000    0.013    0.000 C:\Users\User\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.8_qbz5n2kfra8p0\LocalCache\local-packages\Python38\site-packages\spacy\util.py:118(get)
      274    0.000    0.000    0.000    0.000 C:\Users\User\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.8_qbz5n2kfra8p0\LocalCache\local-packages\Python38\site-packages\scipy\linalg\misc.py:182(_datacopied)
      223    0.000    0.000    0.000    0.000 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.8_3.8.2800.0_x64__qbz5n2kfra8p0\lib\dataclasses.py:1045(is_dataclass)
        4    0.000    0.000    0.000    0.000 C:\Users\User\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.8_qbz5n2kfra8p0\LocalCache\local-packages\Python38\site-packages\pose_format\pose_header.py:46(write)
       90    0.000    0.000    0.000    0.000 C:\Users\User\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.8_qbz5n2kfra8p0\LocalCache\local-packages\Python38\site-packages\thinc\config.py:980(get_constructor)
      147    0.000    0.000    0.000    0.000 C:\Users\User\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.8_qbz5n2kfra8p0\LocalCache\local-packages\Python38\site-packages\numpy\core\shape_base.py:421(<listcomp>)
     1492    0.000    0.000    0.000    0.000 spacy\tokens\doc.pyx:476(__len__)
       45    0.000    0.000    0.001    0.000 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.8_3.8.2800.0_x64__qbz5n2kfra8p0\lib\pathlib.py:658(_parse_args)
      216    0.000    0.000    0.000    0.000 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.8_3.8.2800.0_x64__qbz5n2kfra8p0\lib\configparser.py:1166(_validate_value_types)
     45/4    0.000    0.000    0.005    0.001 C:\Users\User\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.8_qbz5n2kfra8p0\LocalCache\local-packages\Python38\site-packages\thinc\layers\chain.py:48(forward)
       62    0.000    0.000    0.002    0.000 C:\Users\User\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.8_qbz5n2kfra8p0\LocalCache\local-packages\Python38\site-packages\numpy\ma\core.py:3727(filled)
      204    0.000    0.000    0.002    0.000 <__array_function__ internals>:2(transpose)
      183    0.000    0.000    0.000    0.000 C:\Users\User\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.8_qbz5n2kfra8p0\LocalCache\local-packages\Python38\site-packages\thinc\backends\_param_server.py:17(__init__)
        1    0.000    0.000    0.000    0.000 C:\Users\User\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.8_qbz5n2kfra8p0\LocalCache\local-packages\Python38\site-packages\spacy\pipeline\attributeruler.py:107(match)
      102    0.000    0.000    0.001    0.000 C:\Users\User\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.8_qbz5n2kfra8p0\LocalCache\local-packages\Python38\site-packages\scipy\interpolate\polyint.py:87(_prepare_x)
      102    0.000    0.000    0.002    0.000 C:\Users\User\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.8_qbz5n2kfra8p0\LocalCache\local-packages\Python38\site-packages\scipy\interpolate\polyint.py:49(__init__)
       10    0.000    0.000    0.001    0.000 C:\Users\User\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.8_qbz5n2kfra8p0\LocalCache\local-packages\Python38\site-packages\thinc\layers\layernorm.py:24(forward)
      872    0.000    0.000    0.000    0.000 {method 'decode' of 'bytes' objects}
      102    0.000    0.000    0.000    0.000 C:\Users\User\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.8_qbz5n2kfra8p0\LocalCache\local-packages\Python38\site-packages\numpy\core\numeric.py:1251(rollaxis)
        2    0.000    0.000    0.000    0.000 {method 'read' of '_io.TextIOWrapper' objects}
      560    0.000    0.000    0.000    0.000 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.8_3.8.2800.0_x64__qbz5n2kfra8p0\lib\inspect.py:72(isclass)
      147    0.000    0.000    0.000    0.000 C:\Users\User\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.8_qbz5n2kfra8p0\LocalCache\local-packages\Python38\site-packages\numpy\core\shape_base.py:433(<listcomp>)
        1    0.000    0.000    0.172    0.172 spacy\tokenizer.pyx:727(from_disk)
       73    0.000    0.000    0.000    0.000 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.8_3.8.2800.0_x64__qbz5n2kfra8p0\lib\sre_parse.py:432(_uniq)
      136    0.000    0.000    0.007    0.000 C:\Users\User\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.8_qbz5n2kfra8p0\LocalCache\local-packages\Python38\site-packages\catalogue\__init__.py:116(get_entry_points)
       36    0.000    0.000    0.001    0.000 C:\Users\User\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.8_qbz5n2kfra8p0\LocalCache\local-packages\Python38\site-packages\numpy\ma\core.py:5035(sum)
       45    0.000    0.000    0.000    0.000 C:\Users\User\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.8_qbz5n2kfra8p0\LocalCache\local-packages\Python38\site-packages\thinc\config.py:991(parse_args)
    129/8    0.000    0.000    0.006    0.001 C:\Users\User\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.8_qbz5n2kfra8p0\LocalCache\local-packages\Python38\site-packages\thinc\model.py:285(__call__)
      204    0.000    0.000    0.001    0.000 <__array_function__ internals>:2(nonzero)
      522    0.000    0.000    0.000    0.000 {built-in method builtins.max}
      253    0.000    0.000    0.000    0.000 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.8_3.8.2800.0_x64__qbz5n2kfra8p0\lib\functools.py:64(wraps)
     1134    0.000    0.000    0.000    0.000 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.8_3.8.2800.0_x64__qbz5n2kfra8p0\lib\inspect.py:2539(name)
       17    0.000    0.000    0.000    0.000 C:\Users\User\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.8_qbz5n2kfra8p0\LocalCache\local-packages\Python38\site-packages\packaging\version.py:292(__init__)
      318    0.000    0.000    0.000    0.000 {built-in method numpy.seterrobj}
        7    0.000    0.000    0.066    0.009 C:\Users\User\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.8_qbz5n2kfra8p0\LocalCache\local-packages\Python38\site-packages\spacy\language.py:600(create_pipe)
      237    0.000    0.000    0.000    0.000 C:\Users\User\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.8_qbz5n2kfra8p0\LocalCache\local-packages\Python38\site-packages\thinc\model.py:179(set_dim)
      916    0.000    0.000    0.000    0.000 {built-in method builtins.callable}
       36    0.000    0.000    0.001    0.000 C:\Users\User\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.8_qbz5n2kfra8p0\LocalCache\local-packages\Python38\site-packages\pose_format\utils\reader.py:35(unpack_numpy)
      109    0.000    0.000    0.000    0.000 C:\Users\User\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.8_qbz5n2kfra8p0\LocalCache\local-packages\Python38\site-packages\thinc\config.py:975(<listcomp>)
      727    0.000    0.000    0.000    0.000 {method 'isidentifier' of 'str' objects}
       40    0.000    0.000    0.001    0.000 C:\Users\User\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.8_qbz5n2kfra8p0\LocalCache\local-packages\Python38\site-packages\numpy\core\fromnumeric.py:70(_wrapreduction)
      467    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
      168    0.000    0.000    0.000    0.000 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.8_3.8.2800.0_x64__qbz5n2kfra8p0\lib\configparser.py:459(before_set)
       88    0.000    0.000    0.001    0.000 C:\Users\User\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.8_qbz5n2kfra8p0\LocalCache\local-packages\Python38\site-packages\catalogue\__init__.py:126(get_entry_point)
      909    0.000    0.000    0.000    0.000 {method 'keys' of 'dict' objects}
       89    0.000    0.000    0.000    0.000 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.8_3.8.2800.0_x64__qbz5n2kfra8p0\lib\sre_parse.py:355(_escape)
     1340    0.000    0.000    0.000    0.000 spacy\tokenizer.pyx:85(__get__)
      343    0.000    0.000    0.000    0.000 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.8_3.8.2800.0_x64__qbz5n2kfra8p0\lib\inspect.py:513(_is_wrapper)
       23    0.000    0.000    0.001    0.000 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.8_3.8.2800.0_x64__qbz5n2kfra8p0\lib\sre_compile.py:411(_mk_bitmap)
      102    0.000    0.000    0.001    0.000 <__array_function__ internals>:2(argsort)
        1    0.000    0.000    0.000    0.000 {method 'close' of '_io.BufferedWriter' objects}
        4    0.000    0.000    0.001    0.000 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.8_3.8.2800.0_x64__qbz5n2kfra8p0\lib\configparser.py:1317(__init__)
      204    0.000    0.000    0.000    0.000 C:\Users\User\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.8_qbz5n2kfra8p0\LocalCache\local-packages\Python38\site-packages\numpy\core\_methods.py:100(_clip_dep_is_byte_swapped)
       84    0.000    0.000    0.000    0.000 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.8_3.8.2800.0_x64__qbz5n2kfra8p0\lib\copy.py:200(_deepcopy_list)
       10    0.000    0.000    0.000    0.000 C:\Users\User\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.8_qbz5n2kfra8p0\LocalCache\local-packages\Python38\site-packages\numpy\core\_methods.py:161(_mean)
      102    0.000    0.000    0.000    0.000 C:\Users\User\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.8_qbz5n2kfra8p0\LocalCache\local-packages\Python38\site-packages\scipy\interpolate\polyint.py:93(_finish_y)
      147    0.000    0.000    0.000    0.000 C:\Users\User\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.8_qbz5n2kfra8p0\LocalCache\local-packages\Python38\site-packages\numpy\core\shape_base.py:425(<setcomp>)
      134    0.000    0.000    0.001    0.000 C:\Users\User\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.8_qbz5n2kfra8p0\LocalCache\local-packages\Python38\site-packages\numpy\core\_ufunc_config.py:433(__enter__)
        1    0.000    0.000    0.000    0.000 spacy\matcher\phrasematcher.pyx:31(__init__)
       12    0.000    0.000    0.004    0.000 C:\Users\User\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.8_qbz5n2kfra8p0\LocalCache\local-packages\Python38\site-packages\pose_format\utils\fast_math.py:4(distance_batch)
      102    0.000    0.000    0.003    0.000 {method 'clip' of 'numpy.ndarray' objects}
       24    0.000    0.000    0.006    0.000 C:\Users\User\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.8_qbz5n2kfra8p0\LocalCache\local-packages\Python38\site-packages\pose_format\pose_header.py:32(read)
       30    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:354(cache_from_source)
       98    0.000    0.000    0.020    0.000 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.8_3.8.2800.0_x64__qbz5n2kfra8p0\lib\importlib\__init__.py:109(import_module)
      860    0.000    0.000    0.000    0.000 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.8_3.8.2800.0_x64__qbz5n2kfra8p0\lib\inspect.py:2551(kind)
      137    0.000    0.000    0.000    0.000 C:\Users\User\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.8_qbz5n2kfra8p0\LocalCache\local-packages\Python38\site-packages\scipy\ndimage\filters.py:50(_invalid_origin)
       96    0.000    0.000    0.000    0.000 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.8_3.8.2800.0_x64__qbz5n2kfra8p0\lib\typing.py:1292(get_args)
      102    0.000    0.000    0.001    0.000 C:\Users\User\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.8_qbz5n2kfra8p0\LocalCache\local-packages\Python38\site-packages\numpy\core\fromnumeric.py:1004(argsort)
      204    0.000    0.000    0.001    0.000 C:\Users\User\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.8_qbz5n2kfra8p0\LocalCache\local-packages\Python38\site-packages\numpy\core\fromnumeric.py:1827(nonzero)
      134    0.000    0.000    0.001    0.000 C:\Users\User\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.8_qbz5n2kfra8p0\LocalCache\local-packages\Python38\site-packages\numpy\core\_ufunc_config.py:438(__exit__)
      105    0.000    0.000    0.031    0.000 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.8_3.8.2800.0_x64__qbz5n2kfra8p0\lib\functools.py:870(wrapper)
      137    0.000    0.000    0.000    0.000 C:\Users\User\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.8_qbz5n2kfra8p0\LocalCache\local-packages\Python38\site-packages\scipy\ndimage\_ni_support.py:36(_extend_mode_to_code)
       40    0.000    0.000    0.005    0.000 C:\Users\User\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.8_qbz5n2kfra8p0\LocalCache\local-packages\Python38\site-packages\thinc\config.py:310(copy)
       26    0.000    0.000    0.000    0.000 C:\Users\User\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.8_qbz5n2kfra8p0\LocalCache\local-packages\Python38\site-packages\numpy\ma\core.py:3429(__setmask__)
       16    0.000    0.000    0.007    0.000 <frozen importlib._bootstrap>:890(_find_spec)
