Wed May 26 09:33:40 2021    output.dat

         28906884 function calls (28887370 primitive calls) in 15.024 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     2840    0.015    0.000    0.015    0.000 {method 'reduce' of 'numpy.ufunc' objects}
5835/3652    0.014    0.000    0.075    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
     3152    0.013    0.000    0.013    0.000 spacy\tokenizer.pyx:524(find_infix)
        9    0.012    0.001    0.012    0.001 {built-in method srsly.ujson.ujson.load}
     2756    0.011    0.000    0.270    0.000 spacy\tokenizer.pyx:591(add_special_case)
    18295    0.011    0.000    0.011    0.000 {built-in method _warnings.warn}
    27017    0.009    0.000    0.009    0.000 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.8_3.8.2800.0_x64__qbz5n2kfra8p0\lib\sre_parse.py:233(__next)
     2057    0.009    0.000    0.009    0.000 {method 'copy' of 'numpy.ndarray' objects}
     5508    0.008    0.000    0.086    0.000 C:\Users\User\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.8_qbz5n2kfra8p0\LocalCache\local-packages\Python38\site-packages\numpy\ma\core.py:3119(view)
      274    0.008    0.000    0.040    0.000 C:\Users\User\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.8_qbz5n2kfra8p0\LocalCache\local-packages\Python38\site-packages\numpy\lib\polynomial.py:453(polyfit)
      111    0.008    0.000    0.008    0.000 {built-in method nt.stat}
     4104    0.008    0.000    0.014    0.000 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.8_3.8.2800.0_x64__qbz5n2kfra8p0\lib\sre_parse.py:258(getwhile)
    18295    0.008    0.000    0.019    0.000 C:\Users\User\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.8_qbz5n2kfra8p0\LocalCache\local-packages\Python38\site-packages\numpy\ma\core.py:4358(__float__)
  520/172    0.008    0.000    0.039    0.000 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.8_3.8.2800.0_x64__qbz5n2kfra8p0\lib\sre_parse.py:493(_parse)
      137    0.007    0.000    0.018    0.000 C:\Users\User\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.8_qbz5n2kfra8p0\LocalCache\local-packages\Python38\site-packages\scipy\linalg\basic.py:1031(lstsq)
     4236    0.007    0.000    0.008    0.000 spacy\tokenizer.pyx:538(find_prefix)
1848/1836    0.007    0.000    0.089    0.000 C:\Users\User\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.8_qbz5n2kfra8p0\LocalCache\local-packages\Python38\site-packages\numpy\ma\core.py:3063(__array_wrap__)
     2759    0.007    0.000    0.008    0.000 spacy\tokenizer.pyx:217(_flush_cache)
       12    0.007    0.001    0.128    0.011 C:\Users\User\PycharmProjects\FINAL\PoseObj.py:24(find_end)
      102    0.007    0.000    0.012    0.000 C:\Users\User\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.8_qbz5n2kfra8p0\LocalCache\local-packages\Python38\site-packages\scipy\interpolate\interpolate.py:601(_call_linear)
    11934    0.007    0.000    0.028    0.000 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.8_3.8.2800.0_x64__qbz5n2kfra8p0\lib\codecs.py:319(decode)
     4132    0.006    0.000    0.021    0.000 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.8_3.8.2800.0_x64__qbz5n2kfra8p0\lib\sre_parse.py:295(_class_escape)
     1848    0.006    0.000    0.026    0.000 C:\Users\User\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.8_qbz5n2kfra8p0\LocalCache\local-packages\Python38\site-packages\numpy\ma\core.py:1689(mask_or)
    38027    0.006    0.000    0.006    0.000 C:\Users\User\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.8_qbz5n2kfra8p0\LocalCache\local-packages\Python38\site-packages\catalogue\__init__.py:110(<genexpr>)
      274    0.006    0.000    0.010    0.000 C:\Users\User\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.8_qbz5n2kfra8p0\LocalCache\local-packages\Python38\site-packages\numpy\lib\polynomial.py:696(polyval)
      739    0.006    0.000    0.011    0.000 spacy\tokens\doc.pyx:176(__init__)
     1527    0.005    0.000    0.008    0.000 C:\Users\User\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.8_qbz5n2kfra8p0\LocalCache\local-packages\Python38\site-packages\spacy\lang\lex_attrs.py:115(word_shape)
      738    0.005    0.000    0.018    0.000 spacy\matcher\phrasematcher.pyx:154(add)
        3    0.005    0.002    0.042    0.014 spacy\pipeline\trainable_pipe.pyx:325(load_model)
     1527    0.005    0.000    0.007    0.000 C:\Users\User\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.8_qbz5n2kfra8p0\LocalCache\local-packages\Python38\site-packages\spacy\lang\en\lex_attrs.py:22(like_num)
    19250    0.005    0.000    0.010    0.000 {built-in method builtins.all}
     5681    0.005    0.000    0.006    0.000 C:\Users\User\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.8_qbz5n2kfra8p0\LocalCache\local-packages\Python38\site-packages\numpy\ma\core.py:1310(_replace_dtype_fields)
